Article ID,Article URL,Title,Journal,Authors,Abstract,predict(:)
92357133,https://sysrev.com/p/121730/article/92357133,Physician-pharmacist collaboration versus usual care for treatment-resistant hypertension,Journal of the American Society of Hypertension : JASH,"Smith, SM; Carris, NW; Dietrich, E; Gums, JG; Uribe, L; Coffey, CS; Gums, TH; Carter, BL","Team‐based care has been recommended for patients with treatment‐resistant hypertension (TRH), but its efficacy in this setting is unknown. We compared a physician‐pharmacist collaborative model (PPCM) to usual care in patients with TRH participating in the Collaboration Among Pharmacists and Physicians To Improve Outcomes Now study. At baseline, 169 patients (27% of Collaboration Among Pharmacists and Physicians To Improve Outcomes Now patients) had TRH: 111 received the PPCM intervention and 58 received usual care. Baseline characteristics were similar between treatment arms. After 9 months, adjusted mean systolic blood pressure was reduced by 7 mm Hg more with PPCM intervention than usual care (P = .036). Blood pressure control was 34.2% with PPCM versus 25.9% with usual care (adjusted odds ratio, 1.92; 95% confidence interval, 0.33‐11.2). These findings suggest that team‐based care in the primary care setting may be effective for TRH. Additional research is needed regarding the long‐term impact of these models and to identify patients most likely to benefit from team‐based interventions.",
92357134,https://sysrev.com/p/121730/article/92357134,"Primary Care-based, Pharmacist-physician Collaborative Medication-therapy Management of Hypertension: A Randomized, Pragmatic Trial.",Clinical Therapeutics,"Hirsch, Jan D.; Steers, Neil; Adler, David S.; Kuo, Grace M.; Morello, Candis M.; Megan Lang; Singh, Renu F.; Wood, Yelena; Kaplan, Robert M.; Mangione, Carol M.","Purpose: A collaborative pharmacist-primary care provider (PharmD-PCP) team approach to medicationtherapy management (MTM), with pharmacists initiating and changing medications at separate office visits, holds promise for the cost-effective management of hypertension, but has not been evaluated in many systematic trials. The primary objective of this study was to examine blood pressure (BP) control in hypertensive patients managed by a newly formed PharmD-PCP MTM team versus usual care in a university-based primary care clinic. Methods: This randomized, pragmatic clinical trial was conducted in hypertensive patients randomly selected for PharmD-PCP MTM or usual care. In the PharmD-PCP MTM group, pharmacists managed drug-therapy initiation and monitoring, medication adjustments, biometric assessments, laboratory tests, and patient education. In the usual-care group, patients continued to see their PCPs. Participants were aged >/=18 years, were diagnosed with hypertension, had a most recent BP measurement of >/=140/ >/=90 mm Hg (>/=130/ >/=80 mm Hg if codiagnosed with diabetes mellitus), were on at least 1 antihypertensive medication, and were English speaking. The primary outcome was the difference in the mean change from baseline in systolic BP at 6 months. Secondary outcomes included the percentage achieving therapeutic BP goal and the mean changes from baseline in diastolic BP and lowand high-density lipoprotein cholesterol. Findings: A total of 166 patients were enrolled (69 men; mean age, 67.7 years; PharmD-PCP MTM group, n = 75; usual-care group, n = 91). Mean reduction in SBP was significantly greater in the PharmD-PCP MTM group at 6 months (-7.1 [19.4] vs +1.6 [21.0] mm Hg; P = 0.008), but the difference was no longer statistically significant at 9 months (-5.2 [16.9] vs -1.7 [17.7] mm Hg; P = 0.22), based on an intent-to-treat analysis. In the intervention group, greater percentages of patients who continued to see the MTM pharmacist versus those who returned to their PCP were at goal at 6 months (81% vs 44%) and at 9 months (70% vs 52%). No significant betweengroup differences in changes in cholesterol were detected at 6 and 9 months; however, the mean baseline values were near recommended levels. The PharmD-PCP MTM group had significantly fewer PCP visits compared with the usual-care group (1.8 [1.5] vs 4.2 [1.0]; P o 0.001). Implications: A PharmD-PCP collaborative MTM service was more effective in lowering BP than was usual care at 6 months in all patients and at 9 months in patients who continued to see the pharmacist. Incorporating pharmacists into the primary care team may be a successful strategy for managing medication therapy, improving patient outcomes and possibly extending the capacity of primary care.",
92357136,https://sysrev.com/p/121730/article/92357136,The Role of Care Management as a Population Health Intervention to Address Disparities and Control Hypertension: A Quasi-Experimental Observational Study.,Ethn Dis,"Hussain, Tanvir; Franz, Whitney; Brown, Emily; Kan, Athena; Okoye, Mekam; Dietz, Katherine; Taylor, Kara; Carson, Kathryn A.; Halbert, Jennifer; Dalcin, Arlene; Anderson, Cheryl A. M.; Boonyasai, Romsai T.; Albert, Michael; Marsteller, Jill A.; Cooper, Lisa A.","OBJECTIVE: We studied whether care management is a pragmatic solution for improving population blood pressure (BP) control and addressing BP disparities  between Blacks and Whites in routine clinical environments. DESIGN:  Quasi-experimental, observational study. SETTING AND PARTICIPANTS: 3,964  uncontrolled hypertensive patients receiving primary care within the last year  from one of six Baltimore clinics were identified as eligible. INTERVENTION:  Three in-person sessions over three months with registered dietitians and  pharmacists who addressed medication titration, patient adherence to healthy  behaviors and medication, and disparities-related barriers. MAIN MEASURES: We  assessed the population impact of care management using the RE-AIM framework. To  evaluate effectiveness in improving BP, we used unadjusted, adjusted, and  propensity-score matched differences-in-differences models to compare those who  completed all sessions with partial completers and non-participants. RESULTS: Of  all eligible patients, 5% participated in care management. Of 629 patients who  entered care management, 245 (39%) completed all three sessions. Those completing  all sessions on average reached BP control (mean BP 137/78) and experienced 9 mm  Hg systolic blood pressure (P<.001) and 4 mm Hg DBP (P=.004) greater improvement  than non-participants; findings did not vary in adjusted or propensity-score  matched models. Disparities in systolic and diastolic BP between Blacks and  Whites were not detectable at completion. CONCLUSIONS: It may be possible to  achieve BP control among both Black and White patients who participate in a few  sessions of care management. However, the very limited reach and patient  challenges with program completion should raise significant caution with relying  on care management alone to improve population BP control and eliminate related  disparities.",
92357139,https://sysrev.com/p/121730/article/92357139,Patient-centered adherence intervention after acute coronary syndrome hospitalization.,Circ Cardiovasc Qual Outcomes,"Lambert-Kerzner, Anne; Del Giacco, Eric J.; Fahdi, Ibrahim E.; Bryson, Chris L.; Melnyk, S. Dee; Bosworth, Hayden B.; Davis, Ryan; Mun, Howard; Weaver, Jennifer; Barnett, Casey; Radcliff, Tiffany; Hubbard, Amanda; Bosket, Kevin D.; Carey, Evan; Virchow, Allison; Mihalko-Corbitt, Renee; Kaufman, Amy; Marchant-Miros, Kathy; Ho, P. Michael","BACKGROUND: Adherence to cardioprotective medications in the year after acute coronary syndrome hospitalization is generally poor and is associated with  increased risk of rehospitalization and mortality. Few interventions have  specifically targeted this high-risk patient population to improve medication  adherence. We hypothesize that a multifaceted patient-centered intervention could  improve adherence to cardioprotective medications. METHODS AND RESULTS: To  evaluate this intervention, we propose enrolling 280 patients with a recent acute  coronary syndrome event into a multicenter randomized, controlled trial. The  intervention comprises 4 main components: (1) pharmacist-led medication  reconciliation and tailoring; (2) patient education; (3) collaborative care  between pharmacist and primary care provider/cardiologist; and (4) 2 types of  voice messaging (educational and medication refill reminder calls). Patients in  the intervention arm will visit with the study pharmacist ≈1 week post-hospital  discharge. The pharmacist will work with the patient and collaborate with  providers to reconcile medication issues. Voice messages will augment the  educational process and remind patients to refill their cardioprotective  medications. The study will compare the intervention versus usual care for 12  months. The primary outcome of interest is adherence using the ReComp method.  Secondary and tertiary outcomes include achievement of targets for blood pressure  and low-density lipoprotein, and reduction in the combined cardiovascular end  points of myocardial infarction hospitalization, coronary revascularization, and  all-cause mortality. Finally, we will also evaluate the cost-effectiveness of the  intervention compared with usual care. CONCLUSIONS: If the intervention is  effective in improving medication adherence and demonstrating a lower cost, the  intervention has the potential to improve cardiovascular outcomes in this  high-risk patient population.",
92357142,https://sysrev.com/p/121730/article/92357142,"Impact of a pharmacist-led diabetes management on outcomes, utilization, and cost",Clin. Outcomes Res.,"Maeng, D.D.; Graham, J.; Bogart, M.; Hao, J.; Wright, E.A.","Purpose: Pharmacist-led medication therapy disease management (MTDM) has shown improvement in clinical outcomes in patients with certain chronic diseases. However, only limited data demonstrating the impact on health care utilization and cost of care are available. This study seeks to evaluate the impact of a pharmacist-led MTDM program on clinical surrogate outcomes, care utilization, and cost of care among patients with diabetes mellitus. Methods: A retrospective cohort study was conducted by utilizing electronic health records and insurance claims data. Patients were identified between February 2011 and December 2014. Data were collected from Geisinger, a large integrated health care system located in Pennsylvania and southern New Jersey. A total of 5,500 patients with diabetes mellitus were identified; 2,750 were enrolled in MTDM and were 1-to-1 propensity score-matched to a comparison cohort not enrolled in a pharmacist-led MTDM program. Results: There were no differences between groups in composite HbA1c, blood pressure, or low-density lipoprotein cholesterol goal attainment at 12 months (12% vs 12%, P=0.53). HbA1c goal was reached more frequently among patients without MTDM compared to those at 12 months (57% vs 51%, P<0.0001). There were no significant differences between the two cohorts in the attainment of blood pressure or low-density lipoprotein cholesterol goals at 12 months. MTDM was associated with reduced all-cause hospitalization rate (–19.6%; P=0.02) as well as increased primary care physician visits (18.5%; P<0.001) and lower average per-member-per-month medical cost (–13%, P=0.027). Conclusion: Despite the lack of impact on the clinical surrogate outcomes, MTDM was associated with lower cost of care and fewer hospitalizations, possibly facilitated by increased monitoring (ie, higher primary care utilization).",
92357143,https://sysrev.com/p/121730/article/92357143,"Clinical effectiveness and cost savings in diabetes care, supported by pharmacist counselling.",J Am Pharm Assoc (2003),"Rodriguez de Bittner, Magaly; Chirikov, Viktor V.; Breunig, Ian M.; Zaghab, Roxanne W.; Shaya, Fadia Tohme","OBJECTIVE: To determine the effectiveness and cost savings of a real-world, continuous, pharmacist-delivered service with an employed patient population with  diabetes over a 5-year period. SETTING: The Patients, Pharmacists Partnerships  (P(3) Program) was offered as an ""opt-in"" benefit to employees of 6 public and  private self-insured employers in Maryland and Virginia. Care was provided in ZIP  code-matched locations and at 2 employers' worksites. PRACTICE DESCRIPTION: Six  hundred two enrolled patients with type 1 and 2 diabetes were studied between  July 2006 and May 2012 with an average follow-up of 2.5 years per patient. Of  these patients, 162 had health plan cost and utilization data. A network of 50  trained pharmacists provided chronic disease management to patients with diabetes  using a common process of care. Communications were provided to patients and  physicians. PRACTICE INNOVATION: Employers provided incentives for patients who  opted in, including waived medication copayments and free diabetes  self-monitoring supplies. The service was provided at no cost to the patient. A  Web-based, electronic medical record that complied with the Health Insurance  Portability and Accountability Act helped to standardize care. Quality assurance  was conducted to ensure the standard of care. EVALUATION: Glycosylated hemoglobin  (A1c), blood pressure, and total health care costs (before and after enrollment).  RESULTS: Statistically significant improvements were shown by mean decreases in  A1c (-0.41%, P <0.001), low-density lipoprotein levels (-4.7 mg/dL, P = 0.003),  systolic blood pressure (-2.3 mm Hg, P = 0.001), and diastolic blood pressure  (-2.4 mm Hg, P <0.001). Total annual health care costs to employers declined by  $1031 per beneficiary after the cost of the program was deducted. This 66-month  real-world study confirms earlier findings. Employers netted savings through  improved clinical outcomes and reduced emergency and hospital utilization when  comparing costs 12 months before and after enrollment. CONCLUSION: The P(3)  program had positive clinical outcomes and economic outcomes. Pharmacist-provided  comprehensive medication therapy management services should be included as a  required element of insurance offered by employers and health insurance  exchanges.",
92357144,https://sysrev.com/p/121730/article/92357144,"Improving blood pressure control through a clinical pharmacist outreach program in patients with diabetes mellitus in 2 high-performing health systems: the adherence and intensification of medications cluster randomized, controlled pragmatic trial",Circulation,"Heisler, M; Hofer, TP; Schmittdiel, JA; Selby, JV; Klamerus, ML; Bosworth, HB; Bermann, M; Kerr, EA","BACKGROUND: Even in high‐performing health systems, some patients with diabetes mellitus have poor blood pressure (BP) control because of poor medication adherence and lack of medication intensification. We examined whether the Adherence and Intensification of Medications intervention, a pharmacist‐led intervention combining elements found in efficacy studies to lower BP, improved BP among patients with diabetes mellitus with persistent hypertension and poor refill adherence or insufficient medication intensification in 2 high‐performing health systems. METHODS AND RESULTS: We conducted a prospective, multisite cluster randomized pragmatic trial with randomization of 16 primary care teams at 5 medical centers (3 Veterans Affairs and 2 Kaiser Permanente) to the Adherence and Intensification of Medications intervention or usual care. The primary outcome was relative change in systolic BP (SBP), comparing 1797 intervention with 2303 control team patients, from 6 months preceding to 6 months after the 14‐month intervention period. We examined shorter‐term changes in SBP as a secondary outcome. The mean SBP decrease from 6 months before to 6 months after the intervention period was ≈9 mm Hg in both arms. Mean SBPs of eligible intervention patients were 2.4 mm Hg lower (95% CI: ‐3.4 to ‐1.5; P<0.001) immediately after the intervention than those achieved by control patients. CONCLUSIONS: The Adherence and Intensification of Medications program more rapidly lowered SBPs among intervention patients, but usual‐care patients achieved equally low SBP levels by 6 months after the intervention period. These findings show the importance of evaluating in different real‐life clinical settings programs found in efficacy trials to be effective before urging their widespread adoption in all settings. CLINICAL TRIAL REGISTRATION: URL: http://clinicaltrials.gov. Unique identifier: NCT00495794.",
92357145,https://sysrev.com/p/121730/article/92357145,Cost-utility analysis of physician-pharmacist collaborative intervention for treating hypertension compared with usual care,Journal of hypertension,"Kulchaitanaroaj, P; Brooks, JM; Chaiyakunapruk, N; Goedken, AM; Chrischilles, EA; Carter, BL","Objective: To estimate long‐term costs and outcomes attributable to a physician‐pharmacist collaborative intervention compared with physician management alone for treating essential hypertension. Methods: A Markov model cohort simulation with a 6‐month cycle length to predict acute coronary syndrome, stroke, and heart failure throughout lifetime was performed. A cohort of 399 patients was obtained from two prospective, cluster randomized controlled clinical trials implementing physician‐pharmacist collaborative interventions in community‐based medical offices in the Midwest, USA. Framingham risk equations and other algorithms were used to predict the vascular diseases. SBP reduction due to the interventions deteriorated until 5 years. Direct medical costs using a payer perspective were adjusted to 2015 dollar value, and the main outcome was quality‐adjusted life years (QALYs); both were discounted at 3%. The intervention costs were estimated from the trials, whereas the remaining parameters were from published studies. A series of sensitivity analyses including changing patient risks of vascular diseases, probabilistic sensitivity analysis, and a cost‐effectiveness acceptability curve were performed. Results: The lifetime incremental costs were $26 807.83 per QALY (QALYs gained = 0.14). The intervention provided the greatest benefit for the high‐risk patients, moderate benefit for the trial patients, and the lowest benefit for the low‐risk patients. If a payer is willing to pay $50 000 per QALY gained, in 48.6% of the time the intervention would be cost‐effective. Conclusion: Team‐based care such as a physician‐pharmacist collaboration appears to be a cost‐effective strategy for treating hypertension. The intervention is most cost‐effective for high‐risk patients.",
92357146,https://sysrev.com/p/121730/article/92357146,Impact of the clinical pharmacy specialist in telehealth primary care.,Am J Health Syst Pharm,"Litke, Jessica; Spoutz, Laura; Ahlstrom, Danielle; Perdew, Cassie; Llamas, William; Erickson, Katie","PURPOSE: A telehealth-based chronic disease management program including clinical pharmacy specialists (CPSs) and the program's impact on primary care outcomes in  a population of veterans are described. SUMMARY: A telehealth program including  CPS services was developed to improve healthcare access and quality for veterans  in rural areas of the Pacific Northwest. Outcomes of medication management  services provided by a CPS team during both clinical video telehealth and  telephone encounters with 554 patients from October 2014 to March 2017 were  assessed. Patients were targeted for diabetes (DM), hyperlipidemia (HLD), and  hypertension (HTN) control and tobacco cessation; the respective primary outcomes  were the mean changes from baseline in glycosylated hemoglobin (HbA(1c)) and  blood pressure values and rates of guideline-indicated statin therapy and tobacco  cessation. Patients in the DM and HTN groups had a mean absolute HbA(1c)  reduction of 1.61% (95% confidence interval [CI], 1.39-1.83%; p < 0.0001) and a  mean systolic blood pressure reduction of 26.00 mm Hg (95% CI, 22.99-28.50 mm Hg;  p < 0.001), respectively. In the HLD group, 93% of patients were discharged on a  lipid-lowering medication. Tobacco cessation was achieved in 42% of targeted  patients. CONCLUSION: CPSs providing primary care comprehensive medication  management services solely via telehealth improved disease management and access  to healthcare in a population of rural veterans. Statistically significant  improvements in DM and HTN outcomes were demonstrated along with clinically  significant improvements in the areas of lipid management and tobacco cessation.",
92357149,https://sysrev.com/p/121730/article/92357149,Sustained Blood Pressure Control Following Discontinuation of a Pharmacist Intervention,"Journal of clinical hypertension (Greenwich, Conn.)","Wentzlaff, DM; Carter, BL; Ardery, G; Franciscus, CL; Doucette, WR; Chrischilles, EA; Rosenkrans, KA; Buys, LM","Team‐based care can improve hypertension control. The purpose of the present study was to evaluate blood pressure (BP) control 18 months following the discontinuation of a physician‐pharmacist collaborative intervention. This was a retrospective analysis of patients who had previously participated in a prospective, cluster randomized, controlled clinical trial. Six community‐based family medicine offices were randomized to control or intervention groups. Research nurses measured BPs using an automated device during the prospective trial. The research nurses then abstracted data from medical records, including BPs, medications, changes in therapy, and laboratory values for 18 months following the discontinuation of the 6‐month prospective trial. The study included 228 patients in the control (n = 146) or intervention (n = 82) groups. The control group contained more patients with diabetes or chronic kidney disease (P < .013), were older (P = .047), and had more coexisting conditions (P < .001) than the intervention group. Systolic BP 9 months following discontinuation of the physician‐pharmacist intervention was 137.2 ± 18.2 mm Hg and 129.8 ± 13.3 mm Hg in the control and intervention groups, respectively (P = .0015). BP control was maintained in 61 (41.8%) control patients and 55 (67.1%) intervention patients (P = .0003). At 18 months post‐intervention, systolic BP was 138.1 ± 20.4 mm Hg and 130.0 ± 16.0 mm Hg in the control and intervention groups, respectively (P = .023). BP control was maintained in 53 (36.3%) control patients and 55 (67.1%) intervention patients at 18 months post‐intervention (P < .0001). A sensitivity analysis was conducted to address the uneven distribution of patients with diabetes or chronic kidney disease, and the differences between groups were still significant. BP control rates remained significantly higher following a physician‐pharmacist intervention compared with usual care for 18 months after discontinuation of the intervention. This model has the potential value as a useful long‐term strategy to benefit patients with hypertension.",
