article_id,citation
1,"Abrahamowicz AA, Ebinger J, Whelton SP, Commodore-Mensah Y, Yang E. Racial and Ethnic Disparities in Hypertension: Barriers and Opportunities to Improve Blood Pressure Control. Curr Cardiol Rep. 2023;25: 17–27. doi:10.1007/s11886-022-01826-x"
2,"Ahmad Z, Noel N, Rudd T, Nadelson C, Ott M, Wilkinson T, et al. Implementation of a pharmacist-led contraceptive prescribing service in a campus community pharmacy. JACCP JAm Coll Clin Pharm. 2022;5: 1479. doi:10.1002/jac5.1732"
3,"Ahmed A, Saqlain M, Tanveer M, Blebil AQ, Dujaili JA, Hasan SS. The impact of clinical pharmacist services on patient health outcomes in Pakistan: a systematic review. BMC Health Services Research. 2021;21: 1–14. doi:10.1186/s12913-021-06897-0"
4,"Ajay V, Tian M, Chen H, Wu Y, Li X, Dunzhu D, et al. A cluster-randomized controlled trial to evaluate the effects of a simplified cardiovascular management program in Tibet, China and Haryana, India: study design and rationale. BMC public health. 2014;14: 924. doi:10.1186/1471-2458-14-924"
5,"Akazawa M, Fukuoka K. Economic impact of switching to fixed-dose combination therapy for Japanese hypertensive patients: a retrospective cost analysis. BMC Health Services Research. 2013;13: 124–124. doi:10.1186/1472-6963-13-124"
6,"Alderman MH, Alderman MH. Blood pressure management: individualized treatment based on absolute risk and the potential for benefit. Annals of Internal Medicine. 1993;119: 329–335. doi:10.7326/0003-4819-119-4-199308150-00013"
7,"Alfian S, Abdulah R, Denig P, van Boven J, Hak E. Targeted and tailored pharmacist-led intervention to improve adherence to antihypertensive drugs among patients with type 2 diabetes in Indonesia: study protocol of a cluster randomised controlled trial. BMJ open. 2020;10: e034507. doi:10.1136/bmjopen-2019-034507"
8,"Alicic RZ, Short RA, Corbett CL, Neumiller JJ, Gates BJ, Daratha KB, et al. Medication Intervention for Chronic Kidney Disease Patients Transitioning from Hospital to Home: Study Design and Baseline Characteristics. Am J Nephrol. 2016;44: 122–129. doi:10.1159/000447019"
9,"Allen J, Himmelfarb C, Szanton S, Bone L, Hill M, Levine D. COACH trial: a randomized controlled trial of nurse practitioner/community health worker cardiovascular disease risk reduction in urban community health centers: rationale and design. Contemporary clinical trials. 2011;32: 403‐411. doi:10.1016/j.cct.2011.01.001"
10,"Anderegg MD, Gums TH, Uribe L, Coffey CS, James PA, Carter BL. Physician-Pharmacist Collaborative Management: Narrowing the Socioeconomic Blood Pressure Gap. Hypertension. 2016;68: 1314–1320. doi:10.1161/HYPERTENSIONAHA.116.08043"
