article_id,rater,include
92023981,saweber,TRUE
92023981,devinl,FALSE
92023981,cantres,TRUE
92023981,lalarios,TRUE
92023982,saweber,FALSE
92023982,devinl,FALSE
92023982,cantres,FALSE
92023982,lalarios,FALSE
92023983,saweber,FALSE
92023983,devinl,FALSE
92023983,cantres,TRUE
92023983,lalarios,TRUE
92023984,saweber,FALSE
92023984,devinl,TRUE
92023984,cantres,TRUE
92023984,lalarios,FALSE
92023985,saweber,TRUE
92023985,devinl,TRUE
92023985,cantres,TRUE
92023985,lalarios,TRUE
92023986,saweber,TRUE
92023986,devinl,FALSE
92023986,cantres,FALSE
92023986,lalarios,FALSE
92023987,saweber,FALSE
92023987,devinl,FALSE
92023987,cantres,TRUE
92023987,lalarios,FALSE
92023988,saweber,TRUE
92023988,devinl,TRUE
92023988,cantres,TRUE
92023988,lalarios,TRUE
92023989,saweber,FALSE
92023989,devinl,TRUE
92023989,cantres,FALSE
92023989,lalarios,TRUE
92023990,saweber,TRUE
92023990,devinl,TRUE
92023990,cantres,TRUE
92023990,lalarios,TRUE
92023991,saweber,TRUE
92023991,devinl,TRUE
92023991,cantres,FALSE
92023991,lalarios,TRUE
92023992,saweber,TRUE
92023992,devinl,TRUE
92023992,cantres,FALSE
92023992,lalarios,TRUE
92023993,saweber,TRUE
92023993,devinl,TRUE
92023993,cantres,TRUE
92023993,lalarios,TRUE
92023994,saweber,TRUE
92023994,devinl,TRUE
92023994,cantres,TRUE
92023994,lalarios,TRUE
92023995,saweber,FALSE
92023995,devinl,FALSE
92023995,cantres,FALSE
92023995,lalarios,FALSE
92023996,saweber,FALSE
92023996,devinl,FALSE
92023996,cantres,TRUE
92023996,lalarios,FALSE
92023997,saweber,FALSE
92023997,devinl,TRUE
92023997,cantres,TRUE
92023997,lalarios,TRUE
92023998,saweber,FALSE
92023998,devinl,FALSE
92023998,cantres,FALSE
92023998,lalarios,FALSE
92023999,saweber,TRUE
92023999,devinl,TRUE
92023999,cantres,TRUE
92023999,lalarios,TRUE
92024000,saweber,FALSE
92024000,devinl,FALSE
92024000,cantres,TRUE
92024000,lalarios,TRUE
92024001,saweber,FALSE
92024001,devinl,TRUE
92024001,cantres,TRUE
92024001,lalarios,FALSE
92024002,saweber,TRUE
92024002,devinl,TRUE
92024002,cantres,TRUE
92024002,lalarios,TRUE
