Article ID,Article Title,User Name,Resolve?,Include,Exclude,User Note,Title,Journal,Authors
92215057,Disparities in hypertension and cardiovascular disease in blacks: The critical role of medication adherence,saweber,,true,Not Applicable,,Disparities in hypertension and cardiovascular disease in blacks: The critical role of medication adherence,J Clin Hypertens,"Ferdinand, Keith C.; Yadav, Kapil; Nasser, Samar A.; Clayton-Jeter, Helene D.; Lewin, John; Cryer, Dennis R.; Senatore, Fortunato Fred"
92215057,Disparities in hypertension and cardiovascular disease in blacks: The critical role of medication adherence,devinl,,true,Not Applicable,,Disparities in hypertension and cardiovascular disease in blacks: The critical role of medication adherence,J Clin Hypertens,"Ferdinand, Keith C.; Yadav, Kapil; Nasser, Samar A.; Clayton-Jeter, Helene D.; Lewin, John; Cryer, Dennis R.; Senatore, Fortunato Fred"
92215057,Disparities in hypertension and cardiovascular disease in blacks: The critical role of medication adherence,cantres,,true,Not Applicable,,Disparities in hypertension and cardiovascular disease in blacks: The critical role of medication adherence,J Clin Hypertens,"Ferdinand, Keith C.; Yadav, Kapil; Nasser, Samar A.; Clayton-Jeter, Helene D.; Lewin, John; Cryer, Dennis R.; Senatore, Fortunato Fred"
92215057,Disparities in hypertension and cardiovascular disease in blacks: The critical role of medication adherence,lalarios,,true,Not Applicable,,Disparities in hypertension and cardiovascular disease in blacks: The critical role of medication adherence,J Clin Hypertens,"Ferdinand, Keith C.; Yadav, Kapil; Nasser, Samar A.; Clayton-Jeter, Helene D.; Lewin, John; Cryer, Dennis R.; Senatore, Fortunato Fred"
92215057,Disparities in hypertension and cardiovascular disease in blacks: The critical role of medication adherence,edpope,,false, Wrong intervention (not CMM),,Disparities in hypertension and cardiovascular disease in blacks: The critical role of medication adherence,J Clin Hypertens,"Ferdinand, Keith C.; Yadav, Kapil; Nasser, Samar A.; Clayton-Jeter, Helene D.; Lewin, John; Cryer, Dennis R.; Senatore, Fortunato Fred"
92215058,Further Development of Pharmacy Student-Facilitated Diabetes Management Clinics,saweber,,true,Not Applicable,,Further Development of Pharmacy Student-Facilitated Diabetes Management Clinics,AJPE,"Nuffer, Wesley; McCollum, Marianne; Ellis, Samuel L.; Turner, Christopher J."
92215058,Further Development of Pharmacy Student-Facilitated Diabetes Management Clinics,devinl,,true,Not Applicable,,Further Development of Pharmacy Student-Facilitated Diabetes Management Clinics,AJPE,"Nuffer, Wesley; McCollum, Marianne; Ellis, Samuel L.; Turner, Christopher J."
92215058,Further Development of Pharmacy Student-Facilitated Diabetes Management Clinics,cantres,,true,Not Applicable,,Further Development of Pharmacy Student-Facilitated Diabetes Management Clinics,AJPE,"Nuffer, Wesley; McCollum, Marianne; Ellis, Samuel L.; Turner, Christopher J."
92215058,Further Development of Pharmacy Student-Facilitated Diabetes Management Clinics,lalarios,,true,Not Applicable,,Further Development of Pharmacy Student-Facilitated Diabetes Management Clinics,AJPE,"Nuffer, Wesley; McCollum, Marianne; Ellis, Samuel L.; Turner, Christopher J."
92215058,Further Development of Pharmacy Student-Facilitated Diabetes Management Clinics,edpope,,false, Wrong intervention (not CMM),,Further Development of Pharmacy Student-Facilitated Diabetes Management Clinics,AJPE,"Nuffer, Wesley; McCollum, Marianne; Ellis, Samuel L.; Turner, Christopher J."
92215059,A multimodal blood pressure control intervention in 3 healthcare systems,saweber,,true,Not Applicable,,A multimodal blood pressure control intervention in 3 healthcare systems,Am J Manag Care,"Magid, David J.; Ho, P. Michael; Olson, Kari L.; Brand, David W.; Welch, Lesley K.; Snow, Karen E.; Lambert-Kerzner, Anne C.; Plomondon, Mary E.; Havranek, Edward P."
92215059,A multimodal blood pressure control intervention in 3 healthcare systems,devinl,,true,Not Applicable,,A multimodal blood pressure control intervention in 3 healthcare systems,Am J Manag Care,"Magid, David J.; Ho, P. Michael; Olson, Kari L.; Brand, David W.; Welch, Lesley K.; Snow, Karen E.; Lambert-Kerzner, Anne C.; Plomondon, Mary E.; Havranek, Edward P."
92215059,A multimodal blood pressure control intervention in 3 healthcare systems,cantres,,true,Not Applicable,,A multimodal blood pressure control intervention in 3 healthcare systems,Am J Manag Care,"Magid, David J.; Ho, P. Michael; Olson, Kari L.; Brand, David W.; Welch, Lesley K.; Snow, Karen E.; Lambert-Kerzner, Anne C.; Plomondon, Mary E.; Havranek, Edward P."
92215059,A multimodal blood pressure control intervention in 3 healthcare systems,lalarios,,true,Not Applicable,,A multimodal blood pressure control intervention in 3 healthcare systems,Am J Manag Care,"Magid, David J.; Ho, P. Michael; Olson, Kari L.; Brand, David W.; Welch, Lesley K.; Snow, Karen E.; Lambert-Kerzner, Anne C.; Plomondon, Mary E.; Havranek, Edward P."
92215059,A multimodal blood pressure control intervention in 3 healthcare systems,edpope,,true,Not Applicable,,A multimodal blood pressure control intervention in 3 healthcare systems,Am J Manag Care,"Magid, David J.; Ho, P. Michael; Olson, Kari L.; Brand, David W.; Welch, Lesley K.; Snow, Karen E.; Lambert-Kerzner, Anne C.; Plomondon, Mary E.; Havranek, Edward P."
